calendar_quarter,area_level,area_name,age_group,median,lower,upper
CY2000Q2,0,Malawi,15-19,0.17903238244534087,0.1718560820285425,0.18633212311427835
CY2000Q2,0,Malawi,20-24,0.30316065684329296,0.29287387364141276,0.31384854141055124
CY2000Q2,0,Malawi,25-29,0.27119185044428995,0.2619196180448816,0.281079767907941
CY2000Q2,0,Malawi,30-34,0.22588876581412937,0.21645478243348815,0.23525545643738272
CY2000Q2,0,Malawi,35-39,0.1684030476015158,0.1601040684663439,0.17650838566963967
CY2000Q2,0,Malawi,40-44,0.10076633226272164,0.0942312725387929,0.10739808890739694
CY2000Q2,0,Malawi,45-49,0.04248285033157698,0.037827576428646675,0.04749359865365929
CY2001Q2,0,Malawi,15-19,0.16091111726878948,0.15434530634943994,0.16756617831302711
CY2001Q2,0,Malawi,20-24,0.26853942045555995,0.2585828425489713,0.27856601216663107
CY2001Q2,0,Malawi,25-29,0.2407984342898963,0.23161236824764847,0.25035861275421284
CY2001Q2,0,Malawi,30-34,0.2041476157242057,0.19500332936121106,0.21321938670708313
CY2001Q2,0,Malawi,35-39,0.15340968112425707,0.14578785119768278,0.1612629226756449
CY2001Q2,0,Malawi,40-44,0.09128739098809718,0.085142993590614,0.09779043922164266
CY2001Q2,0,Malawi,45-49,0.03843734195900435,0.0340254480013818,0.04301042528074932
CY2002Q2,0,Malawi,15-19,0.14601068895574715,0.14041714382230927,0.15204872593987392
CY2002Q2,0,Malawi,20-24,0.24699230156115204,0.23818518664029395,0.256082757708368
CY2002Q2,0,Malawi,25-29,0.22561208043761244,0.21680291704395052,0.2341680598868053
CY2002Q2,0,Malawi,30-34,0.1931290194841659,0.18472058209342238,0.20145214156408373
CY2002Q2,0,Malawi,35-39,0.1454996864196078,0.13822424561844238,0.15292823780902048
CY2002Q2,0,Malawi,40-44,0.08611061957093596,0.08034295377544856,0.09178533640660622
CY2002Q2,0,Malawi,45-49,0.035973565052244125,0.03182735508077275,0.040202535334780784
CY2003Q2,0,Malawi,15-19,0.179923034691114,0.17329312372566585,0.18687154773428571
CY2003Q2,0,Malawi,20-24,0.30248100734994776,0.2923138550289931,0.31246676426097775
CY2003Q2,0,Malawi,25-29,0.27139695296712596,0.26205414675417066,0.28072047929767324
